epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9379,0.96021,3.45948,1.49349,0.00521,1,0.2444,0.19947,0.64561,2.88671,1.28101,0.000250372,0.000250372,0.000250372
2,45.9751,0.73408,2.7028,1.29259,0.26023,0.52692,0.36357,0.28046,0.80924,2.03241,1.34936,0.000496673,0.000496673,0.000496673
3,64.4179,0.75757,2.36502,1.29075,0.49081,0.69183,0.60262,0.49361,0.72386,1.63083,1.30824,0.000732822,0.000732822,0.000732822
4,82.7189,0.7296,2.15577,1.2617,0.34233,0.83513,0.58486,0.46955,0.77628,1.82577,1.28959,0.000723321,0.000723321,0.000723321
5,99.6888,0.7101,2.001,1.23883,0.68879,0.65242,0.75335,0.59505,0.76071,1.6379,1.30929,0.000708095,0.000708095,0.000708095
6,116.74,0.68433,1.81043,1.22097,0.72157,0.56517,0.72241,0.58597,0.73596,1.52416,1.31937,0.000692869,0.000692869,0.000692869
7,134.299,0.65592,1.65404,1.1974,0.62866,0.63691,0.75795,0.63325,0.59271,1.46288,1.12554,0.000677643,0.000677643,0.000677643
8,151.491,0.65454,1.59025,1.19944,0.77318,0.78373,0.87351,0.76568,0.53467,1.14703,1.06159,0.000662417,0.000662417,0.000662417
9,169.671,0.6358,1.45616,1.17807,0.52373,0.69943,0.75435,0.58004,0.81361,1.46357,1.31426,0.00064719,0.00064719,0.00064719
10,188.08,0.62595,1.44117,1.19585,0.85274,0.7583,0.95074,0.84118,0.52997,0.9285,1.05421,0.000631964,0.000631964,0.000631964
11,206.649,0.58489,1.29701,1.16198,0.88736,0.76443,0.95734,0.87166,0.50343,0.81083,1.004,0.000616738,0.000616738,0.000616738
12,225.39,0.59114,1.21374,1.13541,0.92337,0.92585,0.98152,0.88992,0.45969,0.63445,0.97311,0.000601512,0.000601512,0.000601512
